Reviews,Tokens,Class
"['primera', 'noche', 'encontramos', 'habitacion', 'nido', '5', 'cucarachas', 'muertas', 'alfombra', 'sucia', 'cierto', 'nunca', 'limpiaron', 'reclamamos', 'cena', 'fin', 'ano', 'bufete', 'acabo', 'tremendo', 'desorden', 'excesivo', 'numero', 'mesas', 'vendidas', 'podia', 'caminar', 'ir', 'servirte', 'comida', 'luego', 'encontrarte', 'bandejas', 'vacias', 'esposa', 'pareja', 'cenamos', 'encontramos', 'puras', 'bandejas', 'vacias', 'pagamos', '2800', 'pesos', 'pareja', 'servicio', 'restaurante', 'pesimo', 'pesimo', 'pesimo', 'tardaron', 'muchisimo', 'tiempo', 'atendernos', 'trajeron', 'desayuno', 'partes', 'nunca', 'dieron', 'cafe', 'pedimos', 'llegamos', 'pesimo', 'servicio', 'frigobar', 'vacio', 'despues', 'reclamar', 'surtieron', 'pero_x0085_']","['primer', 'noch', 'encontr', 'habit', 'nid', '5', 'cucarach', 'muert', 'alfombr', 'suci', 'ciert', 'nunc', 'limpi', 'reclam', 'cen', 'fin', 'ano', 'bufet', 'acab', 'tremend', 'desord', 'exces', 'numer', 'mes', 'vend', 'podi', 'camin', 'ir', 'servirt', 'com', 'lueg', 'encontrart', 'bandej', 'vaci', 'espos', 'parej', 'cen', 'encontr', 'pur', 'bandej', 'vaci', 'pag', '2800', 'pes', 'parej', 'servici', 'restaur', 'pesim', 'pesim', 'pesim', 'tard', 'muchisim', 'tiemp', 'atend', 'trajeron', 'desayun', 'part', 'nunc', 'dieron', 'caf', 'ped', 'lleg', 'pesim', 'servici', 'frigob', 'vaci', 'despu', 'reclam', 'surt', 'pero_x0085_']",5
"['calle', 'catedral', 'platillos', 'tradicionales', 'tipo', 'gourmet', 'buen', 'sabor', 'calidad', 'si', 'bien', 'ofrecen', 'carta', 'platillos', 'mas', 'representativos', 'cada', 'temporada', 'mole', 'caderas', 'poblano', 'chinicuiles', 'chiles', 'nogada', 'escamoles', 'cemitas', 'principalmente', 'degustacion', 'mas']","['call', 'catedral', 'platill', 'tradicional', 'tip', 'gourmet', 'buen', 'sabor', 'calid', 'si', 'bien', 'ofrec', 'cart', 'platill', 'mas', 'represent', 'cad', 'tempor', 'mol', 'cader', 'poblan', 'chinicuil', 'chil', 'nog', 'escamol', 'cemit', 'principal', 'degust', 'mas']",3
"['porciones', 'miserables', 'agua', 'sabor', 'cloro', 'distraidos', 'meseros', 'llena', 'expectativas', 'mejores', 'opciones']","['porcion', 'miser', 'agu', 'sabor', 'clor', 'distr', 'meser', 'llen', 'expect', 'mejor', 'opcion']",5
"['cartagena', 'encanta', 'todas', 'ciudades', 'coloniales', 'visitado', 'mas', 'linda', 'mejor', 'conservada', 'recomiendo', 'recorrerla', 'dia', 'noche', 'visiones', 'distintas', 'vale', 'pena', 'vivir', 'llena', 'vida', 'tiendas', 'restaurantes', 'colorida', 'vibrante', 'calles', 'rincones', 'cada', 'momento', 'guardan', 'sorpresa', 'calificacion', 'habria', 'sido', 'excelente', 'sino', 'detalles', 'deberian', 'mejorar', 'lamentablemente', 'falta', 'preocupacion', 'limpieza', 'calles', 'problema', 'repite', 'resto', 'ciudad', 'mejoramiento', 'alcantarillados', 'aguas', 'servidas', 'ademas', 'estrechez', 'calles', 'deberian', 'habilitar', 'vias', 'exclusivas', 'peatones']","['cartagen', 'encant', 'tod', 'ciudad', 'colonial', 'visit', 'mas', 'lind', 'mejor', 'conserv', 'recom', 'recorr', 'dia', 'noch', 'vision', 'distint', 'val', 'pen', 'viv', 'llen', 'vid', 'tiend', 'restaur', 'color', 'vibrant', 'call', 'rincon', 'cad', 'moment', 'guard', 'sorpres', 'calif', 'habri', 'sid', 'excelent', 'sin', 'detall', 'deberi', 'mejor', 'lament', 'falt', 'preocup', 'limpiez', 'call', 'problem', 'repit', 'rest', 'ciud', 'mejor', 'alcantarill', 'agu', 'serv', 'adem', 'estrechez', 'call', 'deberi', 'habilit', 'vias', 'exclus', 'peaton']",3
"['ibamos', 'mucha', 'ilusion', 'disfrutar', 'espectaculo', 'luz', 'sonido', 'verdad', 'decepciono', 'ubican', 'esquina', 'entrada', 'ruinas', 'centro', 'puedes', 'apreciar', 'casi', 'personas', 'paran', 'tomar', 'fotografias', 'debido', 'alcanza', 'ver', 'si', 'sentado', 'inicio', 'final', 'espectaculo', 'dejan', 'prendidas', 'luces', 'puedas', 'tomar', 'fotografias', 'contrario', 'queda', 'obscuridad', 'personas', 'tercera', 'edad', 'problemas', 'salir', 'pues', 'iluminan', 'camino', 'salida', 'deberian', 'poner', 'aunque', 'unas', 'antorchas', 'iluminar', 'verdad', 'recomiendo', 'pena', 'maravilla', 'chichen', 'itza', 'espectaculo', 'tan', 'carente']","['ibam', 'much', 'ilusion', 'disfrut', 'espectacul', 'luz', 'son', 'verd', 'decepcion', 'ubic', 'esquin', 'entrad', 'ruin', 'centr', 'pued', 'apreci', 'casi', 'person', 'par', 'tom', 'fotografi', 'deb', 'alcanz', 'ver', 'si', 'sent', 'inici', 'final', 'espectacul', 'dej', 'prend', 'luc', 'pued', 'tom', 'fotografi', 'contrari', 'qued', 'obscur', 'person', 'tercer', 'edad', 'problem', 'sal', 'pues', 'ilumin', 'camin', 'sal', 'deberi', 'pon', 'aunqu', 'unas', 'antorch', 'ilumin', 'verd', 'recom', 'pen', 'maravill', 'chich', 'itza', 'espectacul', 'tan', 'carent']",2
"['sabado', '12', '11', '2016', 'llegas', 'personal', 'peor', 'trato', 'saben', 'ingles', 'parecer', 'tampoco', 'espanol', '5', 'veces', 'preguntaron', 'si', 'reservacion', 'alli', 'si', 'despues', '3', '4', 'vez', 'preguntaron', 'respuesta', 'seria', 'diferente', 'mas', 'comprobe', 'boucher', 'intinerario', 'pago', 'sabian', 'reservacion', 'decian', 'dentro', 'mes', 'obvio', 'error', 'nunca', 'admitieron', 'llegue', '12', 'pm', 'encontraron', 'habitacion', '1pm', 'prometieron', 'tenerla', 'despues', '3', 'pm', 'debido', 'ocupacion', 'tenian', 'hotel', 'precios', 'lujo', 'trato', 'peor', 'hablar', '3', 'recepcionistas', 'nadie', 'podia', 'hacer', 'gerente', 'nunca', 'llego', 'supervisor', 'nunca', 'aparecio', 'simplemente', 'volteaban', 'lado', 'cada', 'ves', 'poreguntaba', 'habitacion', 'practicamente', '4', 'horas', 'perdidas', 'dia', 'pudo', 'recuperar', 'restaurantes', 'meseros', 'sobretodo', 'manana', 'volteaban', 'lado', 'momento', 'pedir', 'servcio', 'mas', 'desocupado', 'lugar', 'ofrecian', 'mesa', 'si', 'ven', 'unidense', 'pasar', 'alfombra', 'roja', 'tendian', 'entiendo', 'pasi', 'zona', 'especial', 'tan', 'mal', 'trato', 'propios', 'paisanos', 'totalmente', 'desagradable', 'experiencia', 'hotel', 'recomendable', 'si', 'mexico', 'playa', 'dice', 'internet', 'trasladar', 'hotel']","['sab', '12', '11', '2016', 'lleg', 'personal', 'peor', 'trat', 'sab', 'ingles', 'parec', 'tampoc', 'espanol', '5', 'vec', 'pregunt', 'si', 'reserv', 'alli', 'si', 'despu', '3', '4', 'vez', 'pregunt', 'respuest', 'seri', 'diferent', 'mas', 'comprob', 'bouch', 'intinerari', 'pag', 'sabi', 'reserv', 'deci', 'dentr', 'mes', 'obvi', 'error', 'nunc', 'admit', 'lleg', '12', 'pm', 'encontr', 'habit', '1pm', 'promet', 'ten', 'despu', '3', 'pm', 'deb', 'ocup', 'teni', 'hotel', 'preci', 'luj', 'trat', 'peor', 'habl', '3', 'recepcion', 'nadi', 'podi', 'hac', 'gerent', 'nunc', 'lleg', 'supervisor', 'nunc', 'apareci', 'simplement', 'volt', 'lad', 'cad', 'ves', 'poregunt', 'habit', 'practic', '4', 'hor', 'perd', 'dia', 'pud', 'recuper', 'restaur', 'meser', 'sobretod', 'manan', 'volt', 'lad', 'moment', 'ped', 'servci', 'mas', 'desocup', 'lug', 'ofreci', 'mes', 'si', 'ven', 'unidens', 'pas', 'alfombr', 'roj', 'tendi', 'entiend', 'pasi', 'zon', 'especial', 'tan', 'mal', 'trat', 'propi', 'paisan', 'total', 'desagrad', 'experient', 'hotel', 'recomend', 'si', 'mexic', 'play', 'dic', 'internet', 'traslad', 'hotel']",2
"['excelente', 'hotel', 'muchas', 'atracciones', 'alrededor', 'habitaciones', 'comodas', 'limpias', 'lobby', 'hotel', 'siempre', 'cafe', 'algun', 'tipo', 'jugo', 'huespedes', 'personal', 'mejor', 'amables', 'regrese', 'merida', 'siempre', 'sera', 'casa', 'personal', 'chica', 'limpia', 'manager', 'hotel', 'siempre', 'estan', 'dispuestos', 'ayudar', 'huespedes', 'mil', 'gracias', 'todas', 'atenciones', 'siempre', 'recomendare', 'hotel', 'john', 'velez']","['excelent', 'hotel', 'much', 'atraccion', 'alrededor', 'habit', 'comod', 'limpi', 'lobby', 'hotel', 'siempr', 'caf', 'algun', 'tip', 'jug', 'huesped', 'personal', 'mejor', 'amabl', 'regres', 'mer', 'siempr', 'ser', 'cas', 'personal', 'chic', 'limpi', 'manag', 'hotel', 'siempr', 'estan', 'dispuest', 'ayud', 'huesped', 'mil', 'graci', 'tod', 'atencion', 'siempr', 'recomendar', 'hotel', 'john', 'velez']",5
"['ayer', 'unas', 'amigas', 'cenar', 'vivimos', 'aqui', 'vallarta', 'turistas', 'trataron', 'mal', 'aunque', 'vestiamos', 'mejor', 'chica', 'recibe', 'entrada', 'trato', 'fatal', 'aunque', 'comida', 'bien', 'hicieron', 'show', 'flambeado', 'fajitas', 'presencia', 'hicieron', 'turistas', 'alrededor', 'ademas', 'preguntarle', 'mesero', 'dicen', 'si', 'hizo', 'vieron', 'cara', 'tontas', 'dicen', 'mentira', 'pues', 'ninguna', 'vio', 'hacer', 'mas', 'plato', 'tan', 'caliente', 'debia', 'estarlo', 'si', 'hecho', 'momento', 'verdad', 'provocaba', 'dejar', 'propina', 'embargo', 'hicimos', 'pregunta', 'sera', 'piensan', 'podemos', 'pagar', 'si', 'vuelvo', 'queria', 'ir', 'esposo', 'quitaron', 'ganas']","['ayer', 'unas', 'amig', 'cen', 'viv', 'aqui', 'vallart', 'turist', 'trat', 'mal', 'aunqu', 'vesti', 'mejor', 'chic', 'recib', 'entrad', 'trat', 'fatal', 'aunqu', 'com', 'bien', 'hic', 'show', 'flamb', 'fajit', 'presenci', 'hic', 'turist', 'alrededor', 'adem', 'pregunt', 'meser', 'dic', 'si', 'hiz', 'vieron', 'car', 'tont', 'dic', 'mentir', 'pues', 'ningun', 'vio', 'hac', 'mas', 'plat', 'tan', 'calient', 'debi', 'estarl', 'si', 'hech', 'moment', 'verd', 'provoc', 'dej', 'propin', 'embarg', 'hic', 'pregunt', 'ser', 'piens', 'pod', 'pag', 'si', 'vuelv', 'queri', 'ir', 'espos', 'quit', 'gan']",5
"['personal', 'recepcion', 'grosero', 'desinteresado', 'camareras', 'camareros', 'personal', 'fabuloso', 'hotel', 'precioso', 'instalaciones', 'accesorios', 'caen', 'pedazos', 'habana', 'necesidades', 'millon', 'dolares', 'poner', 'justo', 'limpieza', 'carlos', 'genial', 'dejaron', 'toallas', 'modelos', 'cada', 'dia', 'gustado', 'ver', 'fotos', 'coches', 'clasicos', 'ver', 'fotos', 'mito', 'realmente', 'cubos', 'oxido', 'cuba', 'lugar', 'mas', 'caro', 'visitado', 'ten', 'cuidado', 'cuesta', 'incluso', 'lindas', 'fotos', 'si', 'trad', 'vestidas', 'gente', 'calle', 'tomar', 'fotos', 'casi', '60', 'nunca', 'volver', 'nuevo', 'vida', 'llevara', '10', 'anos', 'miles', 'millones', 'dolares', 'restaurar', 'ciudad', 'beautifil']","['personal', 'recepcion', 'groser', 'desinteres', 'camarer', 'camarer', 'personal', 'fabul', 'hotel', 'precios', 'instal', 'accesori', 'caen', 'pedaz', 'haban', 'neces', 'millon', 'dolar', 'pon', 'just', 'limpiez', 'carl', 'genial', 'dej', 'toall', 'model', 'cad', 'dia', 'gust', 'ver', 'fot', 'coch', 'clasic', 'ver', 'fot', 'mit', 'realment', 'cub', 'oxid', 'cub', 'lug', 'mas', 'car', 'visit', 'ten', 'cuid', 'cuest', 'inclus', 'lind', 'fot', 'si', 'trad', 'vest', 'gent', 'call', 'tom', 'fot', 'casi', '60', 'nunc', 'volv', 'nuev', 'vid', 'llev', '10', 'anos', 'mil', 'millon', 'dolar', 'restaur', 'ciud', 'beautifil']",4
"['bueno', 'barato', 'lujo', 'perfecta', 'ubicacion', 'vieja', 'habana', 'vistas', 'increibles', 'esperes', 'lujo', 'buen', 'lugar', 'dormir', 'buen', 'desayuno', 'impresionante', 'vista', 'malecon', 'estaras', 'bien', 'lugar', 'habana', 'nuevo', 'perfectas', 'agradable', 'alojaria', 'aqui', 'nuevo']","['buen', 'barat', 'luj', 'perfect', 'ubic', 'viej', 'haban', 'vist', 'increibl', 'esper', 'luj', 'buen', 'lug', 'dorm', 'buen', 'desayun', 'impresion', 'vist', 'malecon', 'estar', 'bien', 'lug', 'haban', 'nuev', 'perfect', 'agrad', 'alojari', 'aqui', 'nuev']",5
